movie_id,realisateurs,scenaristes,acteurs
198292,['5102'],"['188058', '5102']","['350', '80644', '32323', '97112', '3165', '204393', '126697', '9101']"
34202,['4318'],"['4318', '116']","['124', '4637', '1377', '155', '311', '512', '2764', '2585']"
14259,['15306'],"['70825', '15306', '70825']","['1087', '6146', '3433', '458374', '459795', '456045', '478336', '472701']"
187395,['2169'],"['17423', '2169', '68485', '102551', '89979']","['17423', '32943', '14526', '51498', '18397', '14831', '630', '33328']"
337,['59'],"['59', '99521', '67134', '68532']","['1158', '1159', '1160', '1161', '41539', '10312', '10661', '10266']"
58082,['8938'],"['40101', '41685', '53901']","['13369', '124858', '32822', '1768', '12216', '145126', '126718', '70090']"
870,['1061'],"['74522', '76234', '68231', '65', '98921']","['2682', '2683', '21', '466', '17723', '65', '2121', '66977']"
140302,['254176'],"['30601', '107214']","['112994', '89963', '93159', '204691', '24556', '15946', '135168', '22329']"
151,['576'],"['78560', '576', '55030']","['577', '578', '579', '580', '581', '582', '987', '14764']"
236671,['729481'],"['729481', '169608']","['732072', '743456', '743455', '732073', '732074', '732075', '732076', '732077']"
127455,['186492'],"['186492', '101293']","['328', '1116', '144942', '24874', '13613', '62007', '65789', '220877']"
206431,['27699'],"['571932', '591024']","['591018', '591017', '591020', '591019', '629029', '629030']"
248712,['491980'],"['491980', '37051', '47051', '3777', '768201']","['16217', '812916', '32161', '815058', '17756', '815060', '30268', '770737']"
237953,['38364'],"['38364', '38364', '198981', '174313', '203567', '747303']","['509767', '128597', '454402', '136341', '461915', '773509', '136385', '14431']"
280576,"['418569', '418570']","['418570', '896715']","['896715', '916558', '90996', '916559', '916560', '916561', '52572']"
281143,['214283'],"['136469', '898487']","['6693', '769336', '237357', '533799', '92668', '24474', '136469', '97024']"
286974,"['916211', '758931']","['916213', '916211']","['916211', '916213', '557702', '916214', '104769', '134637', '47236', '252754']"
271582,,,"['28476', '746401', '835696']"
42152,['12360'],['51931'],"['287', '14369', '2883', '3418', '62164', '96290', '68136', '47272']"
188551,['41958'],['41958'],"['25348', '66323', '502681', '101918', '15492', '80768', '263078', '158073']"
53108,['24206'],"['24206', '69816']","['100958', '101408', '101409', '17367', '27586', '180171', '180172', '180173']"
125605,['41551'],"['210677', '41551']","['174090', '28303', '96544', '181222', '91257', '184953', '22454', '169237']"
199230,['82308'],"['95322', '653840']","['66323', '20486', '137779', '15405', '31959', '229240', '9432', '541168']"
236463,['24898'],"['24898', '643381']","['67585', '160886', '506848', '189311', '782504', '34283', '31695', '436215']"
273257,"['252391', '99666']","['227983', '434967']","['694066', '417322', '174296', '243031', '146038', '238711', '724813', '945292']"
296271,['435682'],"['854851', '540074']","['248812', '81175', '106235', '180867', '254090', '682540', '873485', '486442']"
111822,['16585'],"['16585', '154213', '60351', '45523', '154213']","['200738', '65536', '83695', '200740', '84466', '210374', '206384', '19452']"
202807,['97462'],"['97462', '227950', '36081']","['194479', '49425', '45176', '237549', '240868', '407212', '48544', '8399']"
88730,['1788'],['170270'],"['1146', '1271', '1281', '1264', '1787', '19686', '16580', '9122']"
39202,['1540'],"['68200', '37153']","['54781', '52', '2630', '13696', '26564', '47880', '5496', '602']"
172180,['407099'],"['407099', '163972']","['104431', '154349', '143999', '104914', '9487', '111994', '130948', '244964']"
22162,['19591'],"['42452', '756']","['756', '1033', '7313', '90119', '9490', '90120', '42478', '42480']"
245340,"['262173', '579248']","['35204', '579248', '35204']","['98085', '662130', '653573', '700996', '20658', '19035', '130230', '850504']"
228047,['20756'],"['202258', '202258', '131617']","['2098', '565101', '2680', '9637', '14751', '43993', '462947', '25556']"
292581,,,"['647141', '515340', '450633', '516308']"
29296,['65420'],"['65421', '65422', '65423']","['259', '38245', '2705', '11655', '15244', '662', '5233', '10298']"
270086,['146685'],"['662850', '662850', '792837', '792839']","['612808', '16335', '427063', '71767', '104972', '518483', '838514', '706616']"
51423,['3836'],"['14451', '68033']","['14451', '21408', '31596', '233246', '48079', '33436', '17602', '82409']"
111254,['149485'],"['169069', '85221', '149485', '169068', '169068', '149485']","['129665', '169080', '163912', '29891', '602', '99738', '85899', '169081']"
18242,['1907'],"['46009', '46229', '44045', '53281', '53284']","['2098', '5481', '2875', '14611', '15674', '32193', '15676', '6634']"
24941,['32993'],"['506629', '74186', '74187']","['1844', '9109', '13982', '27951', '32994', '32995', '62346', '17082']"
260396,['824372'],['824372'],"['794420', '218487', '773710', '692438', '729044', '716994', '734624', '704245']"
252100,['1190'],"['795064', '1190', '795064', '1190', '126498']","['21376', '160997', '226963', '21971', '479893', '102032', '46876', '5387']"
258255,['130751'],"['130751', '130751']","['4466', '26079', '3225', '30607', '11007', '529048', '156674', '227348']"
2019,['5192'],"['68388', '36107', '72034', '232827']","['1541', '72873', '3068', '11069', '173367', '1542', '5196', '38659']"
215428,['38440'],['38440'],"['38439', '70732', '6047', '698795', '25429', '5793', '1112', '5123']"
253833,['147412'],"['526602', '147412']","['18841', '507460', '228367', '167135', '742375', '193733', '424556', '191457']"
235870,['112971'],"['112971', '92049']","['69081', '502307', '150090', '240627', '172269', '83894', '33599', '192126']"
295416,['842838'],['842838'],"['97976', '9341', '72725', '892518', '942728', '219240', '170143', '243925']"
1183,['888'],"['68388', '36107', '91251']","['95', '3462', '683', '3463', '5196', '117711', '25766', '69345']"
185867,['484227'],['484227'],"['424693', '492605', '414012', '203850', '548282', '424645', '258160', '206607']"
13254,['22603'],['42647'],"['756', '8318', '22604', '22605', '8899', '11601', '104997', '130351']"
201452,['5079'],['5079'],"['24485', '2563', '685434', '685437', '685441', '686807', '489837', '686808']"
273491,['177007'],['92460'],"['874928', '773476', '874929', '201255', '941343', '876901', '941344', '941345']"
284838,['790658'],['790658'],"['19355', '795306', '11680', '508482', '835532', '790659', '6787']"
297999,['676682'],['106077'],"['403582', '812750', '54108', '152799', '675629', '924692', '548620', '400468']"
24210,['21715'],"['21715', '2170']","['21715', '13612', '2170', '12545', '2497', '9523', '41439', '39536']"
223850,['101543'],"['101543', '132095']","['505886', '655280', '668339', '440094', '653601', '437541', '192311', '173564']"
36722,['16892'],"['5311', '90153', '13106']","['5311', '5312', '20758', '7865', '4432', '23141', '65841', '65842']"
9440,['4824'],"['75084', '75082', '4824']","['17796', '3436', '14336', '4827', '15192', '900353', '900354', '900355']"
82,['837'],"['142733', '227163', '240879', '69707']","['329', '338', '31741', '164951', '339', '6700', '7942', '31213']"
109549,['135840'],['135840'],"['29679', '21484', '94485', '104834', '172602', '104340', '97466', '128492']"
133725,['10382'],"['198422', '36301', '52007', '10382']","['2374', '328', '4168', '15881', '2213', '52238', '25323', '5903']"
15960,['45'],['51234'],"['1538', '5991', '1675', '4672', '25526', '28208', '418526', '91882']"
240089,['732643'],"['708886', '52879', '732643', '734115', '796342']","['806692', '418371', '806693']"
45025,['9112'],"['31194', '31194', '75708', '9112', '35412', '75708']","['36863', '141430', '6178', '2815', '36406', '400', '4724', '8178']"
136289,['26743'],['26743'],"['27971', '141047', '224087', '224088']"
138194,"['5294', '21425']","['32988', '21425', '5294']","['16966', '2374', '5081', '14831', '266535', '133472', '42256', '397446']"
206453,['571659'],['571659'],"['120365', '80520', '118517', '104909', '94363', '196969', '649570', '664469']"
124258,['83127'],"['48589', '131838']","['24887', '99730', '17371', '32822', '6405', '139566', '139562', '208082']"
271599,['747428'],['828045'],"['63987', '236699', '82315', '235548', '612957', '888429', '538258', '214413']"
293568,,['936050'],
45638,['14693'],['77880'],"['33229', '87167', '4155', '3087', '7540', '14760', '88619', '3616']"
109754,['222879'],"['198486', '198487']","['28586', '32193', '2700', '81363', '165975', '132322', '105193', '40345']"
250120,['15419'],"['83679', '223672', '15419']","['29358', '27198', '446992', '615067', '13046', '11850', '693595', '750411']"
51728,['23208'],['59979'],"['16335', '33032', '14624', '16021', '5535', '98791', '21171', '102014']"
273368,['870947'],"['870947', '836100']","['870950', '870949', '870951', '870952', '870953', '870954', '476568']"
42405,['56855'],['56855'],"['1532', '3609', '49855', '2500', '1327', '36307', '10974', '15037']"
126381,"['189454', '91412']","['189458', '189440']","['102681', '67164', '52542', '169231', '163595', '139240', '189489', '189490']"
142464,['67522'],"['260989', '254042']","['52572', '2897', '66295', '29912', '257133', '257134', '260991', '27079']"
50986,['16070'],['16070'],"['16070', '30282', '18977', '71654', '93760', '164190', '28546', '164676']"
26208,['4956'],"['4956', '85223', '36502', '69445']","['6290', '11718', '5822', '99424', '39381', '24363', '99425', '11118']"
40147,['25100'],"['58536', '68970', '68969', '68971']","['68968', '14365', '68964', '68965', '2196', '68966', '68967', '56976']"
9220,['12093'],"['12093', '80739']","['12093', '4168', '14563', '3013', '11947', '17554', '18399', '19846']"
278647,['766386'],['63584'],"['1196', '96348', '438373', '143104', '188087', '230134', '59038', '904983']"
287026,['422540'],"['702654', '702655']","['83323', '24474', '153684', '927880', '938481']"
57616,['141510'],"['79280', '79285', '70653', '139731']","['45213', '55708', '147993', '91351', '147994', '146620', '23672', '52211']"
234497,['718951'],"['762655', '718951', '762656', '762657', '762659']","['653885', '528584', '463228', '516806', '556126', '718952', '707681', '582461']"
5367,['8839'],"['35968', '42852', '8839', '42852']","['155', '785', '2786', '2841', '2585', '36306', '4638', '8241']"
56130,['1645'],['1645'],"['2599', '25555', '37622', '30842', '8811', '41732', '59511', '62896']"
286930,['105830'],"['133570', '133570']","['134639', '570962', '557115', '20421', '83086', '558385', '111151', '685708']"
29393,['10330'],"['24885', '24885']","['12559', '1116', '2889', '6527', '4281', '4180', '39181', '4636']"
296922,"['1349', '83903', '8900']","['231801', '189923']","['78438', '862890', '190024', '577282', '221313', '21097', '459009', '400751']"
955,['72'],"['72', '67607']","['2040', '2897', '2898', '2042', '2900', '216808', '16284', '5154']"
213225,['139056'],"['681301', '139056']","['947', '8402', '62592', '194479', '615482', '38766', '144924', '91434']"
220802,['639286'],"['639286', '639286', '438825', '639287']","['639283', '639282', '639285', '639284', '41557', '687797', '57465', '687799']"
252138,['70196'],"['194193', '198331']","['117116', '32776', '795218', '698771', '405712', '702222', '480779', '132429']"
7806,['15886'],"['169918', '87466', '15886']","['15887', '373', '3198', '16258', '1904', '7759', '104793', '12262']"
110966,['82479'],['82479'],"['26883', '32943', '5642', '916', '1631', '19877', '1398', '13214']"
12992,['974'],"['974', '65718', '49965']","['947', '1856', '2190', '4504', '403541', '166397', '21620', '27912']"
197326,['178312'],"['8845', '249089', '239359']","['34249', '440633', '222366', '504355', '418688', '130857', '594153', '48107']"
